cdep,id,ndep,casos,casosm,casosh
11,3,SANTAFE DE BOGOTA D.C,3879,3362,517
5,1,ANTIOQUIA,2118,1778,340
25,11,CUNDINAMARCA,1511,1299,212
76,24,VALLE DEL CAUCA,1505,1312,193
73,23,TOLIMA,1111,969,142
68,21,SANTANDER,992,872,120
8,2,ATLANTICO,929,818,111
66,20,RISARALDA,709,605,104
50,16,META,690,600,90
13,4,BOLIVAR,725,641,84
41,13,HUILA,624,540,84
54,18,NORTE DE SANTANDER,545,462,83
17,6,CALDAS,463,385,78
63,19,QUINDIO,429,358,71
23,10,CORDOBA,595,538,57
15,5,BOYACA,568,516,52
20,9,CESAR,457,406,51
47,15,MAGDALENA,439,391,48
85,26,CASANARE,388,343,45
44,14,LA GUAJIRA,359,323,36
70,22,SUCRE,324,290,34
18,7,CAQUETA,343,312,31
19,8,CAUCA,347,317,30
81,25,ARAUCA,255,230,25
86,27,PUTUMAYO,185,166,19
91,28,AMAZONAS,74,61,13
95,30,GUAVIARE,80,71,9
27,12,CHOCO,114,106,8
52,17,NARIÃ‘O,93,86,7
97,31,VAUPES,53,48,5
88,33,SN ANDRES-STA CATALINA,26,23,3
99,32,VICHADA,16,15,1
94,29,GUAINIA,46,46,0
